# Budget  Q-Learning  QL-Error  P-MARL  PM-Error
"500,000"    7533.40    416.82    21671.20    450.36
"750,000"   10174.90    438.11    24561.30   1172.86
"1,100,000" 13136.80    307.41    28093.50   1154.64
